Gene	log2FC
CNNM2	-1.11611633
CUX1	-0.6846004
PLD6///FLCN	-0.73534417
CYP4X1	-1.16964625
INTS6-AS1	-0.82773477
GATA3-AS1	-0.8343551
BLM	0.73852254
AR	-0.79343985
DBP	-1.20559289
ZNF174	-0.6146016
TMEM165	0.76440419
TEF	-1.0900645
SOCS7	-0.63556707
SLC35E1	-0.75305488
MIR612///NEAT1	1.74693969
C22orf15	0.60610011
RSAD1	-0.60023084
LOC647115	0.61034982
APLP2	0.6959844
ZNF827	-0.64659666
CENPBD1	-0.73103629
ATXN7L1	-0.74319943
PAOX	-0.65137651
NIFK-AS1	-0.58226807
DUSP1	0.79598594
LOC105377832	-0.63123516
CFI	1.32282795
AGO1	-0.61929295
ZNF395	-0.60217581
APLP2	0.64497556
NIT1	-0.71449687
PIK3AP1	0.90638389
KLHL3	-0.89545805
PDP2	-1.55187129
FLJ37453	-0.6858933
PAQR7	-0.58082208
EZR	1.06873691
NTPCR	-0.59433052
LOH12CR2	-0.63613215
DDI2///RSC1A1	-0.75715437
TCEA3	-0.77362547
HNF1A	-0.6946658
SERPINB8	0.71433464
CC2D2A	-0.84185606
DFFB	-0.72396273
GNB1	0.64234794
LOC105376166	-1.05677808
NFE2L2	0.69920595
DSTYK	-0.74791729
DPP7	-0.65733028
CCT2	0.77524432
IL13RA1	0.93544686
SFN	0.62296089
TRPM6	-1.08422457
LOC728705///TMEM263	-0.70335298
GPANK1	-0.61010759
THBS1	0.8870627
PTAFR	0.71542809
TMEM125	-0.71840893
VPS35	1.16613325
WDR37	-0.58187544
JAK1	0.95467223
PTGR1	-0.62134151
FAM149A	-0.89356316
GNG12	0.70312226
CTNNA1	1.23186229
AS3MT	-0.64187991
DHX9	1.09789671
ITPR1-AS1	-0.77817296
ETFBKMT	-0.63999353
SYPL1	0.66547899
PAXIP1-AS1	-0.68737176
IDH1	-0.65644773
LOC729887	-0.63881737
MKI67	0.61570299
HOXB-AS3	-0.80503307
RRAGD	-0.63001222
SEC23A	0.80977558
ITLN1	-1.63141071
TCF7L2	-0.70835355
SLC23A3	-0.97011179
C15orf40	-0.66766318
ZNF800	0.60617645
LOC101928973	0.66296168
LOC102723709///LOC102723678///LOC101928102	-0.78617747
TPX2	0.87834856
LINC01560	-0.60170049
TMEM261	-0.97608677
GALM	-0.96837942
RNASE2	0.72131103
GTPBP6	-0.61537232
CC2D2B	0.58394572
EZR	1.12303562
MET	1.0720301
MET	0.8719391
PDLIM5	0.97971294
FAM149A	-0.79757604
PNPLA3	-1.14393485
UGT1A6	1.41798276
TCL6	-0.62499858
LOC102724870	0.6556919
GATA3	-0.73792139
CUL5	-0.67003851
L2HGDH	-0.66426184
PPP1R26-AS1	-0.6174606
KCNIP4	0.62512801
RHOA	0.6448825
ACPP	-1.39623321
NRP1	0.65227886
HOXB7	-0.66095725
DIP2C	-0.77813287
COL7A1	0.75487278
HOXB7	-0.62941195
NR1D1///THRA	-0.83046883
MAPK1	0.67527499
LOC257396	-0.595218
KANK4	-0.81291764
LOC101928963	-0.61454747
COQ8A	-0.63243626
DEFB1	-0.91587608
CIART	-1.14688496
KPNA2	0.6531106
MEGF11	0.58085681
ZNF582-AS1	-0.60895075
FUT6	-0.77195099
LOC105379499///FLJ45482	-1.14858229
C11orf71	-0.71881446
PTPN11	0.60439041
KIAA1109	0.5827195
TMEM17	-0.73563739
EIF4EBP2	-0.66733641
FAM186B	0.5876106
MET	0.82722739
FNTB	-0.78842628
CCND1	-0.68173471
UBE2H	0.60880069
SEC23IP	0.92683458
MIB2	-0.61104889
ADH1C	-1.29884918
CACNB2	-0.90614378
CENPF	0.68229286
FOS	1.45414211
EZR	0.60536655
SLC25A5-AS1	-0.76739061
TFDP1	-0.79817049
SPP1	0.74348266
RASSF5	0.658687
SOCS7	-0.65539212
FYB	0.63334801
FAM162A	-0.8319106
SSR1	0.71112389
PIP5K1B	-0.77933181
ZNF747	-0.61385825
LOC102724611	-0.7171982
TSPAN1	0.8416913
PAIP2B	-0.75186085
GPR89B	-0.6441532
HADHA	0.72299356
TMEM44-AS1	-0.61080162
FECH	-0.93634691
LINC00663	-0.59159288
MIB2	-0.69753142
CINP	-0.63510893
CDK1	0.86006274
ANAPC5	0.64050194
ACLY	0.8678962
HAUS6	0.63809819
FRAS1	-0.70761931
UBE3C	0.6911048
IGLJ3	0.68194389
CTSC	0.84669095
PABPN1	-0.62314049
PPP1CB	1.26195965
SLC1A1	0.91495973
MAGI2	-0.6024263
ENO1	0.73412846
KLF9	-1.02952011
LINC00937	-0.75588434
LINC00472	-1.07106167
CD59	0.64692361
FECH	-0.95163766
PMS2P5	-0.71942574
ASB8	-0.60547198
NUSAP1	0.65127599
PPP1R3E	-0.78948981
LINC00938	-0.63483129
RAB2A	0.85015537
TCAIM	-0.72205148
TRAF4	-0.77891134
CPD	1.23006153
WNK4	-1.47222601
TKT	0.72563888
WDR1	0.85668477
FCGR2C	1.02802819
ERLIN1	0.71906572
CTD-3080P12.3	-0.87252641
ABCC4	0.82214948
ESYT2	0.7188261
CD58	0.82204914
GGT6	-1.29473197
CARS	0.60830527
LMNA	0.65359322
GDI2	0.71723718
CALU	0.90415571
NCAPG	0.6079172
RRAGD	-0.83115767
PPP1R3E	-0.59306879
DHX9	0.99850215
FN1	0.94028402
LRG1	0.7095398
UBASH3B	0.60366864
LOC100996792///MAP2K3	-0.67460705
IQGAP1	0.87095447
TLN2	-0.70432969
LOC101929243	-0.62723292
ACTBP9	0.60540107
ASAH1	0.85904115
FAM149A	-0.8284366
CWH43	-0.75872503
JAK1	0.76308081
LOC441179	-0.68818994
KLK1	-1.48099488
WTAP	0.63840176
CA10	-0.76226483
LOC101060604///SLC7A5P2///SLC7A5P1	-0.70248989
SALL3	-0.91394519
FUT6	-0.66336163
ATP11A	0.59799572
FBXL20	-1.07269955
IL6R	-0.90574531
MTA2	0.58849407
ANXA9	-0.82987131
FOXC1	-0.90292146
GTF2I	0.87936015
NRP1	0.77489209
CD58	0.73185477
CALD1	0.60237562
PDLIM5	0.76099657
CASP8	0.614982
C1QTNF7	-0.69052575
ZBTB38	0.81443631
PEBP1	-0.58307929
CAMK2G	-0.63720978
CDV3	0.92782408
WNK4	-0.63198868
