ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0010038	response to metal ion	54/904	360/18903	6.92368654868902e-14	3.80802760177896e-10	2.93127024198181e-10	NFE2L2/THBS1/MAPK1/CCND1/FOS/CDK1/SLC1A1/IQGAP1/CASP8/SLC34A1/CLIC4/S100A8/CLDN1/EGFR/TFAP2A/MT1HL1/MT2A/NDRG1/KCNJ10/MT1F/MT1G/ADAM9/OGG1/FGA/MT1X/MT1H/SYT17/CAPN3/CREB1/TFRC/CYBB/TXNIP/MT1E/SLC30A8/ADGRV1/MAPT/MT1M/SOD2/CD14/AQP2/HMGCS2/SORD/AQP3/JUN/ACO1/KHK/SLC30A2/HIF1A/VCAM1/DPEP1/AOC1/TNFRSF11B/PKLR/MTTP	54
BP	GO:0006882	cellular zinc ion homeostasis	17/904	40/18903	9.69652285325872e-13	2.66654378464615e-09	2.05260078504245e-09	SLC1A1/SLC39A14/S100A9/S100A8/MT1HL1/MT2A/SLC39A6/MT1F/MT1G/MT1X/SLC39A5/MT1H/MT1E/SLC30A8/SLC39A7/MT1M/SLC30A2	17
BP	GO:0055069	zinc ion homeostasis	17/904	42/18903	2.54205892990217e-12	4.66044137148732e-09	3.58742491791808e-09	SLC1A1/SLC39A14/S100A9/S100A8/MT1HL1/MT2A/SLC39A6/MT1F/MT1G/MT1X/SLC39A5/MT1H/MT1E/SLC30A8/SLC39A7/MT1M/SLC30A2	17
BP	GO:0046916	cellular transition metal ion homeostasis	26/904	116/18903	3.04840007578855e-11	3.37331942281056e-08	2.59664894134815e-08	SLC1A1/SLC39A14/S100A9/S100A8/ATP6V1A/MT1HL1/MT2A/SLC39A6/MT1F/MT1G/MT1X/STEAP4/SLC39A5/MT1H/TFRC/MT1E/SCARA5/SLC30A8/LCN2/SLC39A7/MT1M/ACO1/SLC30A2/MYC/HIF1A/ERFE	26
BP	GO:0055076	transition metal ion homeostasis	29/904	143/18903	3.06665402073687e-11	3.37331942281056e-08	2.59664894134815e-08	SLC1A1/SLC39A14/S100A9/S100A8/ATP6V1A/MT1HL1/MT2A/SLC39A6/MT1F/MT1G/PICALM/MT1X/STEAP4/SLC39A5/MT1H/TFRC/MT1E/SCARA5/SLC30A8/LCN2/SLC39A7/MT1M/SOD2/LTF/ACO1/SLC30A2/MYC/HIF1A/ERFE	29
BP	GO:0009410	response to xenobiotic stimulus	54/904	432/18903	1.00399684941334e-10	9.20330445295563e-08	7.08434268129906e-08	NFE2L2/THBS1/AS3MT/UGT1A6/GATA3/RHOA/CCND1/CENPF/FOS/HADHA/CDK1/SLC1A1/WNK4/ABCC4/HSP90AB1/SLC34A1/REN/STAT1/GSTM3/TGFBR2/ITGB3/OGG1/ABCD3/CREB1/SCNN1B/TFRC/CYBB/BPHL/TXNIP/HNF4A/TFAP2B/ACACB/HSD11B2/AOX1/SOD2/HMGCS2/SORD/ABCC3/JUN/CYP26B1/UMOD/INHBA/HSP90AA1/LPL/CMBL/MYC/CYP3A5/DPEP1/TNFRSF11B/COL1A1/SULT1C4/SLC22A7/GSTA3/GSTA1	54
BP	GO:0046686	response to cadmium ion	18/904	60/18903	2.00169155805567e-10	1.57275765275802e-07	1.21064713481201e-07	MAPK1/FOS/CDK1/SLC34A1/EGFR/MT1HL1/MT2A/MT1F/MT1G/OGG1/MT1X/MT1H/CYBB/MT1E/MT1M/SOD2/SORD/JUN	18
BP	GO:0045785	positive regulation of cell adhesion	57/904	484/18903	3.09036642672807e-10	2.12462691837555e-07	1.63545444319741e-07	PTAFR/JAK1/GATA3/RHOA/NRP1/PTPN11/FN1/CD46/P4HB/TGM2/HSPH1/LAMC1/ACTB/SMARCA2/CXCL12/OLFM4/TGFBR2/ITGB3/CBFB/FERMT1/ETS1/HLA-DRA/CD44/ADAM9/NID1/KITLG/LIF/FGA/PTPRC/SOX13/TFRC/IL6ST/CD86/GLI3/HMGB1/HRG/ADGRG1/NFKBIZ/TPM1/NCK1/MALT1/CD74/EPHA4/CDC42/SELE/TNFSF13B/CCL2/ITGB2/TJP1/SERPINF2/UTRN/THY1/VCAM1/CORO1A/ANGPT1/DPP4/IL7R	57
BP	GO:0006898	receptor-mediated endocytosis	38/904	257/18903	5.6146114380683e-10	3.43115143437507e-07	2.64116575484336e-07	EZR/MAGI2/MSR1/AMN/RAB5A/M6PR/ARRB1/ACKR3/INSR/LRPAP1/CALCRL/ITGB1/MTMR2/TGFBR2/ITGB3/CANX/PICALM/EGF/LYVE1/CLU/SERPINE1/TFRC/SCYL2/DNM3/TPCN2/SCARB2/CUBN/PLA2R1/CD14/APELA/SELE/ITGB2/CXCL8/FCER1G/FCGR2B/ANGPT1/DPP4/C3	38
BP	GO:0071276	cellular response to cadmium ion	14/904	37/18903	6.46433088604593e-10	3.55538198732526e-07	2.73679356038703e-07	MAPK1/FOS/EGFR/MT1HL1/MT2A/MT1F/MT1G/OGG1/MT1X/MT1H/CYBB/MT1E/MT1M/JUN	14
