ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04610	Complement and coagulation cascades	25/452	86/6710	1.75111873176551e-10	3.1169913425426e-08	2.63589451202597e-08	3426/966/4179/5265/3818/629/716/3827/5340/7035/2243/2160/1191/5054/717/2162/5104/11326/713/3689/5345/5328/730/718/714	25
hsa04145	Phagosome	25/452	152/6710	2.41824257150388e-05	0.00215223588863845	0.00182004572486871	7057/9103/4481/528/29927/5868/60/4074/523/2215/3688/3690/155066/821/3122/7037/1536/78989/22925/929/3689/1520/11151/2213/718	25
hsa04657	IL-17 signaling pathway	18/452	94/6710	4.36748404498706e-05	0.00250721882026184	0.00212023826905644	5594/2353/51433/9618/841/3326/6280/6279/7184/6885/3934/23118/2920/3725/6347/3320/3576/6364	18
hsa04151	PI3K-Akt signaling pathway	44/452	359/6710	6.25006172231877e-05	0.00250721882026184	0.00212023826905644	118788/2782/7057/3716/55970/4233/5594/595/6696/9863/2335/3570/3326/5521/4170/7534/1956/8516/3915/9180/1282/3643/5519/7184/3688/3480/3690/3696/1284/4254/1950/1385/1386/1977/5106/56034/2254/3320/3655/4915/4609/284/1277/3575	44
hsa04670	Leukocyte transendothelial migration	20/452	115/6710	7.04274949511753e-05	0.00250721882026184	0.00212023826905644	7430/1495/387/5781/83593/9076/60/5175/6387/3688/10411/1536/2773/3383/9073/998/3689/7070/7412/5010	20
hsa04512	ECM-receptor interaction	15/452	89/6710	0.000787644066502977	0.0229565975054456	0.0194133260986323	7057/6696/80144/2335/8516/3915/1282/3688/3690/3696/1284/960/158326/3655/1277	15
hsa04066	HIF-1 signaling pathway	17/452	109/6710	0.000902787542348984	0.0229565975054456	0.0194133260986323	5594/2023/3570/818/1956/80201/3643/7076/3480/1950/5054/7037/1536/1977/3459/3091/284	17
hsa04510	Focal adhesion	26/452	203/6710	0.00106498119471167	0.0236958315823347	0.0200384619531275	7057/4233/387/5594/595/6696/8395/5500/2335/83660/1956/8516/3915/60/1282/3688/3480/3690/3696/1284/1950/56034/998/3725/3655/1277	26
hsa04520	Adherens junction	15/452	93/6710	0.00125744610495985	0.0248694896314282	0.0210309699426034	1495/6934/4233/387/5594/8826/1956/60/3643/7048/3480/6885/117178/998/7082	15
hsa04668	TNF signaling pathway	17/452	114/6710	0.00150498902518282	0.0267888046482541	0.0226540453264361	5594/2353/841/355/6885/3976/1385/1386/3383/23118/2920/6401/3725/6347/9021/6364/7412	17
hsa00020	Citrate cycle (TCA cycle)	7/452	30/6710	0.00314224268542222	0.0508471998186505	0.0429991104320935	3417/47/3418/5106/1743/48/5091	7
hsa04380	Osteoclast differentiation	18/452	135/6710	0.00393031404153244	0.0582996582827312	0.0493013077139596	3716/5594/2353/9103/2215/6772/7048/3690/6885/1385/23118/3725/3459/9021/2355/7305/2213/4982	18
hsa04514	Cell adhesion molecules	20/452	158/6710	0.00446465819026938	0.0611314736821499	0.0516960422031191	965/9019/9076/8516/5175/3688/3696/3897/3122/5788/942/1462/3383/9073/6401/3689/3655/7412/5010/257194	20
hsa04530	Tight junction	21/452	170/6710	0.00482911108341122	0.0613986980605141	0.0519220214231432	7430/387/595/5521/1739/10097/9076/60/3308/10092/5519/3688/23327/10095/9073/998/3725/7082/51762/5010/5962	21
hsa00561	Glycerolipid metabolism	10/452	63/6710	0.00881837328658219	0.101937889514993	0.0862041289216083	80339/116255/1056/196051/26007/132158/224/84803/4023/2710	10
hsa04146	Peroxisome	12/452	83/6710	0.00916295636089823	0.101937889514993	0.0862041289216083	196743/3417/3418/255027/5825/2182/51179/6648/8540/8309/51268/1610	12
hsa01200	Carbon metabolism	15/452	115/6710	0.00989946526309219	0.103653224519436	0.0876547079023023	3417/2023/7086/80201/3418/26007/132158/51179/4329/1743/48/26275/5091/29968/5313	15
hsa04659	Th17 cell differentiation	14/452	108/6710	0.0131362063040572	0.129902484562344	0.109852485466677	3716/2625/5594/2353/3570/3326/6772/7048/3122/3572/3725/3459/3320/3091	14
hsa04630	JAK-STAT signaling pathway	19/452	166/6710	0.0156199487815254	0.139894314993927	0.118302111437798	30837/3597/3716/5781/595/3570/4170/1956/9180/6772/3976/1950/3572/316/3587/3459/9021/4609/3575	19
hsa00410	beta-Alanine metabolism	6/452	31/6710	0.0157184623588682	0.139894314993927	0.118302111437798	3030/2571/224/4329/26275/51733	6
