ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	adj.P.Val	P.Value	t	B	logFC	
1554522_at	1.05E-08	1.92E-13	-10.8433144	19.766409	-1.11611633	CNNM2	1.05E-08	1.92E-13	-10.8433144	19.766409	-1.11611633	down
235833_at	8.00E-06	8.75E-10	-7.9808598	12.110619	-0.53183701	PPAT	8.00E-06	8.75E-10	-7.9808598	12.110619	-0.53183701	down
225935_at	8.00E-06	1.04E-09	-7.9243676	11.947995	-0.6846004	CUX1	8.00E-06	1.04E-09	-7.9243676	11.947995	-0.6846004	down
227037_at	1.13E-05	2.81E-09	-7.6079509	11.030252	-0.73534417	PLD6///FLCN	1.13E-05	2.81E-09	-7.6079509	11.030252	-0.73534417	down
227702_at	1.20E-05	3.30E-09	-7.5572353	10.882118	-1.16964625	CYP4X1	1.20E-05	3.30E-09	-7.5572353	10.882118	-1.16964625	down
1569136_at	1.29E-05	3.77E-09	-7.5151408	10.758957	-0.36909944	MGAT4A	1.29E-05	3.77E-09	-7.5151408	10.758957	-0.36909944	down
226583_at	1.31E-05	4.09E-09	-7.489165	10.682864	-0.45365737	C12orf76	1.31E-05	4.09E-09	-7.489165	10.682864	-0.45365737	down
1557118_a_at	1.37E-05	5.01E-09	-7.4247836	10.493969	-0.82773477	INTS6-AS1	1.37E-05	5.01E-09	-7.4247836	10.493969	-0.82773477	down
240192_at	2.45E-05	1.16E-08	-7.1594252	9.711148	-0.8343551	GATA3-AS1	2.45E-05	1.16E-08	-7.1594252	9.711148	-0.8343551	down
224152_s_at	2.73E-05	1.45E-08	7.0902394	9.505994	0.54837476	PBRM1	2.73E-05	1.45E-08	7.0902394	9.505994	0.54837476	up
205733_at	2.80E-05	1.55E-08	7.0697961	9.445296	0.73852254	BLM	2.80E-05	1.55E-08	7.0697961	9.445296	0.73852254	up
226192_at	4.02E-05	2.35E-08	-6.9385107	9.054694	-0.79343985	AR	4.02E-05	2.35E-08	-6.9385107	9.054694	-0.79343985	down
209782_s_at	4.76E-05	3.05E-08	-6.8579395	8.814324	-1.20559289	DBP	4.76E-05	3.05E-08	-6.8579395	8.814324	-1.20559289	down
217501_at	4.92E-05	3.24E-08	-6.838526	8.756337	-0.47414731	CIAO1	4.92E-05	3.24E-08	-6.838526	8.756337	-0.47414731	down
210290_at	5.03E-05	3.40E-08	-6.8236297	8.711825	-0.6146016	ZNF174	5.03E-05	3.40E-08	-6.8236297	8.711825	-0.6146016	down
226825_s_at	5.54E-05	3.85E-08	6.7849676	8.596227	0.76440419	TMEM165	5.54E-05	3.85E-08	6.7849676	8.596227	0.76440419	up
225840_at	5.95E-05	4.25E-08	-6.7544685	8.504966	-1.0900645	TEF	5.95E-05	4.25E-08	-6.7544685	8.504966	-1.0900645	down
226572_at	6.01E-05	4.40E-08	-6.7434798	8.472071	-0.63556707	SOCS7	6.01E-05	4.40E-08	-6.7434798	8.472071	-0.63556707	down
226957_x_at	6.54E-05	4.91E-08	-6.7093438	8.369833	-0.52113003	RALBP1	6.54E-05	4.91E-08	-6.7093438	8.369833	-0.52113003	down
235035_at	6.83E-05	5.34E-08	-6.6832089	8.291509	-0.75305488	SLC35E1	6.83E-05	5.34E-08	-6.6832089	8.291509	-0.75305488	down
238320_at	6.83E-05	5.55E-08	6.6712627	8.255695	1.74693969	MIR612///NEAT1	6.83E-05	5.55E-08	6.6712627	8.255695	1.74693969	up
1558334_a_at	6.83E-05	5.62E-08	6.6670193	8.242971	0.60610011	C22orf15	6.83E-05	5.62E-08	6.6670193	8.242971	0.60610011	up
218307_at	6.83E-05	5.63E-08	-6.6664838	8.241365	-0.60023084	RSAD1	6.83E-05	5.63E-08	-6.6664838	8.241365	-0.60023084	down
244739_at	6.83E-05	5.75E-08	-6.6601631	8.22241	-0.46578703	RDX	6.83E-05	5.75E-08	-6.6601631	8.22241	-0.46578703	down
217061_s_at	7.61E-05	6.68E-08	6.6132758	8.081731	0.36221681	ETV1	7.61E-05	6.68E-08	6.6132758	8.081731	0.36221681	up
231698_at	8.12E-05	7.28E-08	6.5866132	8.00168	0.61034982	LOC647115	8.12E-05	7.28E-08	6.5866132	8.00168	0.61034982	up
208689_s_at	8.31E-05	7.60E-08	6.5733476	7.961837	0.40120431	RPN2	8.31E-05	7.60E-08	6.5733476	7.961837	0.40120431	up
226953_at	9.02E-05	8.58E-08	6.5354583	7.847987	0.36887096	CADM3///ACKR1	9.02E-05	8.58E-08	6.5354583	7.847987	0.36887096	up
214875_x_at	9.38E-05	9.10E-08	6.5173648	7.793595	0.6959844	APLP2	9.38E-05	9.10E-08	6.5173648	7.793595	0.6959844	up
