"","substanceBXH","moduleColor","GS.weight","p.GS.weight","MM.green","p.MM.green","MM.purple","p.MM.purple","MM.magenta","p.MM.magenta","MM.black","p.MM.black","MM.red","p.MM.red","MM.blue","p.MM.blue","MM.grey","p.MM.grey","MM.yellow","p.MM.yellow","MM.brown","p.MM.brown","MM.pink","p.MM.pink","MM.turquoise","p.MM.turquoise"
"MDM4","MDM4","black",0.635865555255171,3.07953368934386e-05,0.471806662981349,0.00367267861973144,-0.206730691274617,0.226382665235305,0.724416995951653,5.88690035121205e-07,-0.709184473922409,1.28802400963789e-06,-0.533824729782887,0.000799321820940556,-0.733839173869224,3.53339802278503e-07,-0.0101104042116543,0.953332081038078,0.164262584164564,0.338407417867179,0.594954094265558,0.000129706621020081,-0.0829884111110009,0.630382090983868,-0.347576863595196,0.0377905309628489
"AVEN","AVEN","black",0.496572600913667,0.00206648754760834,0.542386865513178,0.000632520786777911,-0.066659437708047,0.699295540123439,0.632835481319167,3.44993570235454e-05,-0.74200836893792,2.23037632396396e-07,-0.489823339388379,0.00242734514472547,-0.451087982686931,0.00575847897623712,0.401398022232023,0.0152488206077463,0.288670933396844,0.087735902273444,0.234225285742303,0.169141048889958,-0.156516884563385,0.361982095480257,-0.30677990812517,0.0687768812158798
"TADA2B","TADA2B","black",0.474531509250849,0.00345458015532872,0.536253542809071,0.000748446501440581,-0.15119702011865,0.378728239168532,0.612351507211272,7.21095087358327e-05,-0.800005727888833,4.78978845922964e-09,-0.562241258247271,0.000358631269027568,-0.653568863040021,1.54677179384371e-05,0.0816991252206035,0.635722308226055,0.33385149087364,0.0465996487449925,0.491959712927939,0.00230758964662425,-0.164048677654615,0.33904552568075,-0.292944231250146,0.0829354768362724
"ABCB1","ABCB1","black",-0.4696429299885,0.00385428201495824,-0.467775080227146,0.00401726387079217,0.122897189091953,0.475181733039094,-0.476959177005639,0.00326983643581908,0.474229830427013,0.00347815925929756,0.384086497972654,0.0207396676316105,0.213624602718669,0.21092940118588,-0.551239057798693,0.000493286856635431,-0.294912567060092,0.0807938975214622,-0.0713378039054619,0.679278057871056,0.342865669851576,0.0406472983173459,0.124168582604244,0.470590717630707
"CBX4","CBX4","black",0.45806274057066,0.00496452867248458,0.591521533747374,0.000145060024175224,-0.21905434324821,0.199282817563151,0.548761960302778,0.000529194981920624,-0.584811798087517,0.000179866936943266,-0.28395648084888,0.0932771746127543,-0.430487736905977,0.00877205911319029,0.318983369258645,0.057930140922258,0.241260262432563,0.156332948959208,0.230954321667434,0.175345527287455,0.116293384354934,0.499401007080743,-0.0918526545675826,0.594175752065511
"TRPS1","TRPS1","black",-0.453626044792465,0.0054577640049042,-0.39411065836321,0.0173892403614384,0.00950874675061321,0.956106468062127,-0.403761844853223,0.0146040000132942,0.584790207738991,0.000179990089328551,0.0945175554919618,0.58347135379843,0.285812978755945,0.0910639361984499,-0.122931244821059,0.475058452294284,-0.24787121265093,0.144951245080471,-0.357038800740599,0.0325452782068174,0.273677579573466,0.106284760426042,-0.00247855277194813,0.988553556228091
"HUWE1","HUWE1","black",-0.442122762945811,0.0069376696554691,-0.35639833851969,0.0328804238814677,0.0382897132260083,0.824538420153496,-0.637072531631588,2.94231917509154e-05,0.844273243017923,9.79467590978812e-11,0.641087024122333,2.52486471677441e-05,0.715079834439136,9.56967126195983e-07,-0.207060679123037,0.225625857845069,-0.151251779870196,0.378553578925426,-0.527685503143721,0.000941820735194305,0.353419835184206,0.0344763086825322,0.430493537848551,0.00877105041925342
"PLRG1","PLRG1","black",-0.385777480995714,0.0201395180939486,-0.354420932451386,0.0339330186253387,0.027020165918268,0.875695785790291,-0.543379379972202,0.000615341807135546,0.74775161136756,1.5974328346324e-07,0.410839853838828,0.0128088095818812,0.707568364788895,1.39555788820664e-06,0.0471310622022751,0.78488551107278,-0.262838265730666,0.121442534675347,-0.4282541299163,0.0091678768519223,0.181446475739922,0.289563391827104,0.442307390459457,0.00691144365558164
"CMTM8","CMTM8","black",-0.383725567740667,0.0208696747728149,-0.419233530659635,0.0109249937238639,0.285290499607252,0.0916826949937484,-0.402131408279314,0.0150462504657943,0.483748435416623,0.00279803546243914,0.0664900691510975,0.700024079269493,0.108236291210995,0.529775400456465,-0.182795914717527,0.285930476746965,-0.12852682658404,0.45503213432263,-0.297330930803491,0.0782216736545147,-0.0745596756035183,0.665616086565104,0.142466753615188,0.407176050044618
"CCL11","CCL11","black",-0.370773492195698,0.0260042370473517,-0.33792887122138,0.0438258882719586,0.0104150952544214,0.951927281464266,-0.291429139557945,0.084613631581776,0.337563985835106,0.0440685566043619,0.279637279453213,0.0985856851588267,0.289700270155799,0.0865604854896879,0.0619611464178487,0.719601202994528,-0.138435090017213,0.420713086302151,0.0188240339868445,0.913228096576961,0.124429781937791,0.469650429222691,0.0334430927717665,0.846464853177066
