Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
REF1	0.190559187524436	0	0.21533717623009	0	0.157380708435922	0.147411390679205	0	0.00284976697609227	0	0	0.0564152667219696	0	0.0370293590330164	0	0	0.182505656198402	0	0	0.00555742603907547	0	0.0049540621617916	0	0.194	0.0993054534618731	1.04868373754076
REF2	0.066762506931252	0	0.309809450593899	0	0.0503058364103043	0.322164296668575	0	0	0	0	0.0387507113537679	0	0.0312177368601977	0	0	0.145611019110321	0	0.00328820092996451	0.0280885230188662	0	0.00400171812285272	0	0.823	-0.00995797768886506	1.09667854704654
REF3	0	0.109545243292425	0.00952739038203326	0	0.304227546164557	0.159288184801548	0	0	0.0540990900056391	0.193152002060885	0.00857404779180567	0	0.0111820914998549	0	0	0	0.0952442004711388	0	0.0321949405835474	0	0.0229652629465673	0	0.98	-0.0466905234192571	1.15905862454341
REF4	0.0434470515352292	0	0.188961564994128	0	0.0582145968519961	0.365638100902808	0	0	0	0	0.0625775972506286	0	0.0343733229345221	0	0.00111625775305184	0.21416300251983	0	0	0.0315085052578064	0	0	0	0.916	-0.0248456627082717	1.09945626830014
REF5	0	0.00373929241059694	0.0393203853276444	0	0.317322084585899	0.242051607221048	0	0	0	0	0.253202192113627	0	0	0.0111848360321678	0	0.0622284853743721	0	0	0.0498127532732357	0	0.0211383636614101	0	0.931	-0.0274161841808505	1.17346791784986
REF6	0	0.247053419123351	0	0	0.387454563416955	0.00573642940302901	0	0	0	0	0.137470262984039	0	0	0	0	0	0.063582043523716	0	0.0373434994964359	0	0.121359782052475	0	0.933	-0.0278411442803189	1.12233026405657
REF7	0	0	0.054164606301049	0	0.0761269709041473	0.308362795375633	0.026653996085827	0	0	0	0.0249512431775679	0.00295529766907719	0.204056794698193	0	0	0.247351413042869	0	0	0.0294746868341307	0	0.0259021959115058	0	0.98	-0.0468841098135472	1.11212574690864
REF8	0.0157279854009367	0	0.0550321413355379	0	0.03374056298414	0.245530874611386	0	0	0	0	0.00269999466103583	0.0426628384734093	0.0283941506152618	0	0	0.430254909654703	0	0.00391498035435923	0.14204156190923	0	0	0	0.948	-0.0310767830386816	1.10289349706151
REF9	0.0946923502992557	0	0.286585451154744	0	0.0718780733120142	0.157791407292843	0	0	0	0	0.028110661890375	0	0	0	0	0.276606404877449	0	0	0.079806907135815	0	0.00452874403750477	0	0.955	-0.033570129309948	1.09325686482486
AKI7	0.0785237234062923	0	0	0.0408044182014836	0.221349663497945	0.0829675429726904	0	0	0.171013204326079	0	0.207714132674017	0	0.00439938080925962	0.128765236213063	0	0.0644626978991708	0	0	0	0	0	0	0.987	-0.0547109064102651	1.16397764198652
AKI1	0.151147345529084	0	0.0119868911707384	0	0.0272529801967359	0.28224153580958	0	0	0.058611094682794	0	0.0240711559528016	0.0299476575365262	0.346204363018834	0.0511091170675028	0	0	0	0	0.017427859035404	0	0	0	0.314	0.0690570108441303	1.07926437037769
AKI2	0.0285727161112952	0	0.227469721720529	0	0.0815725131758319	0.248179908207802	0	0	0.0869158376393138	0	0.0620462607718277	0.0248419690806483	0.11141836681622	0.0814578516634206	0	0.0100164052891715	0	0	0.00622487687349097	0	0.0312835726504484	0	0.991	-0.0577098540663682	1.11422564762302
AKI3	0.0603051617747271	0	0.0582820044715416	0	0.216090113110231	0.222569717200576	0.0191547390816503	0	0	0	0.186610713300712	0	0.0271415996556022	0.0420957066073369	0	0.0429858864858775	0	0	0.113092540336925	0	0.0116718179748204	0	0.981	-0.0472094140894946	1.13232685426075
AKI4	0.255888349362153	0	0.264295129509779	0	0.094222824032725	0.113666895802192	0	0	0	0	0.0963726595270184	0	0.0247453387295231	0.0419483503712645	0	0.04378078774834	0	0	0.065079664917005	0	0	0	0.657	0.0134973043943324	1.08961125982074
AKI5	0.0649739754698591	0	0	0.00392096751105037	0	0.210652506592868	0	0	0.00284654027938985	0	0.131393648051649	0	0.439062427281851	0.0077645669624177	0.000780153666151679	0	0	0	0	0.101312574280813	0.0372926399039498	0	0.878	-0.0191988035040449	1.12876538610804
AKI11	0.255343493653995	0	0.406784368591294	0	0	0.150873312917927	0	0	0.0605672490342584	0	0.0053918046887048	0.0483734733378547	4.18569456934757e-05	0.00312257471831386	0	0.0369029659447123	0	0	0.0325989001672466	0	0	0	0.842	-0.0134020267472026	1.13071099544523
AKI12	0.103801789857156	0	0.129620983826841	0.035296151987742	0.0984896464571262	0.265165179315893	0.012701715106221	0	0	0	0.118076566755935	0.0133537576803878	0.177474597403849	0.0165579629202451	0	0.025265733607922	0	0.00419591508068201	0	0	0	0	0.982	-0.0490624024001486	1.12318773409281
AKI6	0.0188263869455102	0.0544984672592953	0	0	0.0337016787250473	0.283736698442748	0	0	0	0	0.144131794566616	0	0.263287545473756	0.0553345813777743	0	0.054369513337857	0	0	0.0921133338713961	0	0	0	0.971	-0.0411811628151283	1.11523079138957
AKI9	0.0410946694945993	0	0.0172550074285115	0	0.0628223410589674	0.454887215539527	0	0	0	0	0.176152954596677	0	0.0363224979541475	0.00894815578069525	0	0.0918650007119439	0	0.0010147576483714	0.10963739978656	0	0	0	0.889	-0.0212807302824185	1.13800480183254
AKI10	0.0843127264386103	0	0.0627610507234925	0	0.0227373980668469	0.240853486952239	0	0.0475105691014125	0	0	0.0788316493020431	0	0.366115956675186	0.0341681609351363	0	0.0462249506348	0	0.00274325223960845	0	0	0.0137407989306249	0	0.98	-0.046351801261396	1.12359149099275
AKI8	0	0.0435254279852917	0.00986543348806499	0.0516172977817603	0.0342991651864058	0.53672992665484	0.0257482348985801	0	0	0	0.151155282601548	0	0.0425937686339562	0.0137056086476793	0.00234859631552086	0.0532403917593629	0	0.0153085026950421	0.0198623633519484	0	0	0	0.146	0.115455536924043	1.09670493883638
AKI13	0	0	0.169061395404561	0.109989048486157	0.194807827209148	0.194084650696994	0	0	0	0	0.129847431521459	0.0105529920926834	0.140988661487038	0.036077155491224	0	0	0	0	0.0145908376107363	0	0	0	0.89	-0.0215899865497012	1.12928238577486
AKI14	0.00414698603859909	0.000199271223170114	9.27583113574666e-05	0	0.155140524989902	0.401440042988692	0	0	0	0	0.164428569908182	0	0.206111437901323	0.0289955456775678	0	0	0	0.00464249523594809	0	0.0257458690636161	0.00905649866164255	0	0.766	-0.00186560780223996	1.14230007593065
AKI15	0.192422586330787	0	0.000685368197063665	0	0.0793926851687589	0	0.023630409978564	0	0.0109685891814281	0.063678592838729	0.0351305866397433	0	0.0318962641161479	0.0666819854479328	0	0	0	0.00262706709556439	0	0.105591559630893	0	0.387294305374388	0.00600000000000001	0.309601756455687	1.01093040055437
AKI16	0.034871541555354	0	0.028215956652234	0	0.0431500580467532	0.439623955675614	0.0336784912215733	0	0.0482850608880108	0	0.30834908186265	0	0.049273083674556	0	0.000995515690395011	0.0135572547328594	0	0	0	0	0	0	0.958	-0.0351289736798219	1.20563727133281
AKI17	0	0	0.0956786609813567	0.0982948773594689	0	0.257773577690305	0	0.206020827665568	0.012186111878072	0	0	0.00938817451221175	0.072715841948283	0.0390853854893264	0.0616548337513592	0	0.00429934597289582	0	0.107441679298214	0	0	0.0354606834529391	0.746	0.000513822060883875	1.10219305621896
AKI18	0.108795277414067	0	0	0.0593289249647367	0.263027113659267	0.0118648107145431	0	0	0	0	0.169807480874416	0	0.210265344956711	0.0858607329525281	0	0	0	0.00758959648776235	0.0834607179759684	0	0	0	0.999	-0.0850976326640009	1.13846135112856
AKI19	0	0.00357959480279836	0.0215302266467508	0.230071147710849	0	0.214718618880002	0	0.0802287399611645	0	0	0.156397501580593	0	0.10439579140813	0.117759583825647	0.019598564229949	0.0517202309541164	0	0	0	0	0	0	0.994	-0.0658516176220583	1.16922781203049
AKI20	0.134442734225357	0.00719540715894617	0	0	0.226742010538238	0	0	0	0.251706077823927	0	0.126526873485401	0	0.0759808661403902	0.0740843746131427	0	0	0	0	0	0.103321656014599	0	0	0.461	0.042309449645713	1.09215025448496
AKI21	0	0.0822593166463628	0.00970524779081116	0	0.187741906171066	0.185247410432999	0	0.322575300402895	0	0	0.132797035284123	0	0	0.00200079828294024	0	0.0164937569221448	0	0.00132668738189063	0.0284028144861765	0	0	0.0314497261985904	0.372	0.0574819835320279	1.13107520715983
AKI22	0	0.0853422918327337	0	0.0482203332941292	0.249492203768397	0.144410000132061	0.0134490662373615	0	0	0	0.0470088130222795	0	0.211734905724653	0.0218923876744511	0.0887389107029521	0	0.0184001084922466	0	0.0713109791187355	0	0	0	0.664	0.0125420759048645	1.09758430593491
