	CBFB	EGF	COL1A1	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
REF1	7.801034674	11.5863707	9.09918341	0.190559188	0	0.215337176	0	0.157380708	0.147411391	0	0.002849767	0	0	0.056415267	0	0.037029359	0	0	0.182505656	0	0	0.005557426	0	0.004954062	0	0.194	0.099305453	1.048683738
REF2	7.354616714	11.65260226	10.2087424	0.066762507	0	0.309809451	0	0.050305836	0.322164297	0	0	0	0	0.038750711	0	0.031217737	0	0	0.145611019	0	0.003288201	0.028088523	0	0.004001718	0	0.823	-0.009957978	1.096678547
REF3	6.732450113	10.13533521	10.76286645	0	0.109545243	0.00952739	0	0.304227546	0.159288185	0	0	0.05409909	0.193152002	0.008574048	0	0.011182091	0	0	0	0.0952442	0	0.032194941	0	0.022965263	0	0.98	-0.046690523	1.159058625
REF4	7.366504361	10.03631673	10.89067595	0.043447052	0	0.188961565	0	0.058214597	0.365638101	0	0	0	0	0.062577597	0	0.034373323	0	0.001116258	0.214163003	0	0	0.031508505	0	0	0	0.916	-0.024845663	1.099456268
REF5	7.539158811	8.703254734	13.57841938	0	0.003739292	0.039320385	0	0.317322085	0.242051607	0	0	0	0	0.253202192	0	0	0.011184836	0	0.062228485	0	0	0.049812753	0	0.021138364	0	0.931	-0.027416184	1.173467918
REF6	5.7543308	9.295051426	11.82845883	0	0.247053419	0	0	0.387454563	0.005736429	0	0	0	0	0.137470263	0	0	0	0	0	0.063582044	0	0.037343499	0	0.121359782	0	0.933	-0.027841144	1.122330264
REF7	7.978591302	9.693704739	11.6965148	0	0	0.054164606	0	0.076126971	0.308362795	0.026653996	0	0	0	0.024951243	0.002955298	0.204056795	0	0	0.247351413	0	0	0.029474687	0	0.025902196	0	0.98	-0.04688411	1.112125747
REF8	7.658211483	10.5731146	11.04904021	0.015727985	0	0.055032141	0	0.033740563	0.245530875	0	0	0	0	0.002699995	0.042662838	0.028394151	0	0	0.43025491	0	0.00391498	0.142041562	0	0	0	0.948	-0.031076783	1.102893497
REF9	7.164906927	11.10503547	9.685113776	0.09469235	0	0.286585451	0	0.071878073	0.157791407	0	0	0	0	0.028110662	0	0	0	0	0.276606405	0	0	0.079806907	0	0.004528744	0	0.955	-0.033570129	1.093256865
AKI7	6.410451352	7.827607346	13.31896346	0.078523723	0	0	0.040804418	0.221349663	0.082967543	0	0	0.171013204	0	0.207714133	0	0.004399381	0.128765236	0	0.064462698	0	0	0	0	0	0	0.987	-0.054710906	1.163977642
AKI1	8.363769739	8.071685811	13.71865996	0.151147346	0	0.011986891	0	0.02725298	0.282241536	0	0	0.058611095	0	0.024071156	0.029947658	0.346204363	0.051109117	0	0	0	0	0.017427859	0	0	0	0.314	0.069057011	1.07926437
AKI2	8.413980451	9.717283712	12.55194853	0.028572716	0	0.227469722	0	0.081572513	0.248179908	0	0	0.086915838	0	0.062046261	0.024841969	0.111418367	0.081457852	0	0.010016405	0	0	0.006224877	0	0.031283573	0	0.991	-0.057709854	1.114225648
AKI3	7.869465324	8.641750724	10.54430039	0.060305162	0	0.058282004	0	0.216090113	0.222569717	0.019154739	0	0	0	0.186610713	0	0.0271416	0.042095707	0	0.042985886	0	0	0.11309254	0	0.011671818	0	0.981	-0.047209414	1.132326854
AKI4	7.516028284	7.9453219	9.778761617	0.255888349	0	0.26429513	0	0.094222824	0.113666896	0	0	0	0	0.09637266	0	0.024745339	0.04194835	0	0.043780788	0	0	0.065079665	0	0	0	0.657	0.013497304	1.08961126
AKI5	8.818582177	8.893933488	10.26236405	0.064973975	0	0	0.003920968	0	0.210652507	0	0	0.00284654	0	0.131393648	0	0.439062427	0.007764567	0.000780154	0	0	0	0	0.101312574	0.03729264	0	0.878	-0.019198804	1.128765386
AKI11	7.403544678	9.335622969	9.36459067	0.255343494	0	0.406784369	0	0	0.150873313	0	0	0.060567249	0	0.005391805	0.048373473	4.19E-05	0.003122575	0	0.036902966	0	0	0.0325989	0	0	0	0.842	-0.013402027	1.130710995
AKI12	8.131428289	9.431671706	12.72072967	0.10380179	0	0.129620984	0.035296152	0.098489646	0.265165179	0.012701715	0	0	0	0.118076567	0.013353758	0.177474597	0.016557963	0	0.025265734	0	0.004195915	0	0	0	0	0.982	-0.049062402	1.123187734
AKI6	8.33110355	10.26468694	11.94570292	0.018826387	0.054498467	0	0	0.033701679	0.283736698	0	0	0	0	0.144131795	0	0.263287545	0.055334581	0	0.054369513	0	0	0.092113334	0	0	0	0.971	-0.041181163	1.115230791
AKI9	8.405761958	5.839203788	14.67888091	0.041094669	0	0.017255007	0	0.062822341	0.454887216	0	0	0	0	0.176152955	0	0.036322498	0.008948156	0	0.091865001	0	0.001014758	0.1096374	0	0	0	0.889	-0.02128073	1.138004802
AKI10	7.873187747	8.759125311	13.42060174	0.084312726	0	0.062761051	0	0.022737398	0.240853487	0	0.047510569	0	0	0.078831649	0	0.366115957	0.034168161	0	0.046224951	0	0.002743252	0	0	0.013740799	0	0.98	-0.046351801	1.123591491
AKI8	7.600532423	7.207217731	13.38343149	0	0.043525428	0.009865433	0.051617298	0.034299165	0.536729927	0.025748235	0	0	0	0.151155283	0	0.042593769	0.013705609	0.002348596	0.053240392	0	0.015308503	0.019862363	0	0	0	0.146	0.115455537	1.096704939
AKI13	8.450266181	7.275736532	11.95530178	0	0	0.169061395	0.109989048	0.194807827	0.194084651	0	0	0	0	0.129847432	0.010552992	0.140988661	0.036077155	0	0	0	0	0.014590838	0	0	0	0.89	-0.021589987	1.129282386
AKI14	9.059175438	0	12.81124925	0.004146986	0.000199271	9.28E-05	0	0.155140525	0.401440043	0	0	0	0	0.16442857	0	0.206111438	0.028995546	0	0	0	0.004642495	0	0.025745869	0.009056499	0	0.766	-0.001865608	1.142300076
AKI15	9.3524573	10.21502734	11.03680322	0.192422586	0	0.000685368	0	0.079392685	0	0.02363041	0	0.010968589	0.063678593	0.035130587	0	0.031896264	0.066681985	0	0	0	0.002627067	0	0.10559156	0	0.387294305	0.006	0.309601756	1.010930401
AKI16	10.10675376	0	14.27193866	0.034871542	0	0.028215957	0	0.043150058	0.439623956	0.033678491	0	0.048285061	0	0.308349082	0	0.049273084	0	0.000995516	0.013557255	0	0	0	0	0	0	0.958	-0.035128974	1.205637271
