"clusterAbbrev","clusterName","cellCount","medianExp","pctCellsExpressing","foldChange","pVal","pValAdj"
"aFIB","Fibroblast (<i>adaptive / maladaptive / repairing<sup>1</sup></i>)","59","0.746","0.746","4.71762147737275","1.26444482378089e-191","NS"
"MyoF","Myofibroblast","8","0.625","0.625","5.44311680153941","2.56959012815568e-28","NS"
"dVSMC","Vascular Smooth Muscle Cell (<i>degenerative<sup>3</sup></i>)","252","0.103","0.103","0.424928778351694","2.75730106307665e-14","NS"
"EC-AEA","Afferent / Efferent Arteriole Endothelial Cell","274","NS","NS","NS","NS","NS"
"B","B Cell","115","NS","NS","NS","NS","NS"
"cDC","Classical Dendritic Cell","76","NS","NS","NS","NS","NS"
"CNT","Connecting Tubule Cell","1531","","NS","NS","NS","NS"
"dCNT","Connecting Tubule Cell (<i>degenerative<sup>3</sup></i>)","25","","NS","NS","NS","NS"
"CNT-IC-A","Connecting Tubule Intercalated Cell Type A","434","","NS","NS","NS","NS"
"CNT-PC","Connecting Tubule Principal Cell","168","","NS","NS","NS","NS"
"dCNT-PC","Connecting Tubule Principal Cell (<i>degenerative<sup>3</sup></i>)","136","","NS","NS","NS","NS"
"C-TAL","Cortical Thick Ascending Limb Cell","3471","NS","NS","NS","NS","NS"
"dC-TAL","Cortical Thick Ascending Limb Cell (<i>degenerative<sup>3</sup></i>)","117","","NS","NS","NS","NS"
"T-CYT","Cytotoxic T Cell","97","NS","NS","NS","NS","NS"
"DTL1","Descending Thin Limb Cell Type 1","57","","NS","NS","NS","NS"
"dDCT","Distal Convoluted Tubule Cell (<i>degenerative<sup>3</sup></i>)","34","NS","NS","NS","NS","NS"
"DCT1","Distal Convoluted Tubule Cell Type 1","1613","","NS","NS","NS","NS"
"cycEC","Endothelial Cell (<i>cycling<sup>2</sup></i>)","4","NS","NS","NS","NS","NS"
"cycEPI","Epithelial Cell (<i>cycling<sup>2</sup></i>)","3","NS","NS","NS","NS","NS"
"FIB","Fibroblast","185","","NS","NS","NS","NS"
"EC-GC","Glomerular Capillary Endothelial Cell","770","","NS","NS","NS","NS"
"IC-A","Intercalated Cell Type A","1070","NS","NS","NS","NS","NS"
"dIC-A","Intercalated Cell Type A (<i>degenerative<sup>3</sup></i>)","60","NS","NS","NS","NS","NS"
"IC-B","Intercalated Cell Type B","210","NS","NS","NS","NS","NS"
"EC-LYM","Lymphatic Endothelial Cell","12","NS","NS","NS","NS","NS"
"MAC-M2","M2-Macrophage","99","","NS","NS","NS","NS"
"M-TAL","Medullary Thick Ascending Limb Cell","41","","NS","NS","NS","NS"
"MC","Mesangial Cell","42","","NS","NS","NS","NS"
"MON","Monocyte","72","NS","NS","NS","NS","NS"
"MDC","Monocyte-derived Cell","186","NS","NS","NS","NS","NS"
"cycMNP","Mononuclear Phagocyte (<i>cycling<sup>2</sup></i>)","1","NS","NS","NS","NS","NS"
"NK1","Natural Killer Cell Type 1","136","NS","NS","NS","NS","NS"
"NK2","Natural Killer Cell Type 2","9","NS","NS","NS","NS","NS"
"NKT","Natural Killer T Cell","36","NS","NS","NS","NS","NS"
"ncMON","Non-classical Monocyte","15","","NS","NS","NS","NS"
"PEC","Parietal Epithelial Cell","158","NS","NS","NS","NS","NS"
"EC-PTC","Peritubular Capillary Endothelial Cell","1480","","NS","NS","NS","NS"
"dEC-PTC","Peritubular Capillary Endothelial Cell (<i>degenerative<sup>3</sup></i>)","31","NS","NS","NS","NS","NS"
"PL","Plasma Cell","4","NS","NS","NS","NS","NS"
"pDC","Plasmacytoid Dendritic Cell","4","NS","NS","NS","NS","NS"
"POD","Podocyte","118","NS","NS","NS","NS","NS"
"PC","Principal Cell","1090","","NS","NS","NS","NS"
"dPC","Principal Cell (<i>degenerative<sup>3</sup></i>)","116","","NS","NS","NS","NS"
"tPC-IC","Principal-Intercalated Cell (<i>transitional<sup>4</sup></i>)","518","","NS","NS","NS","NS"
"aPT","Proximal Tubule Epithelial Cell (<i>adaptive / maladaptive / repairing<sup>1</sup></i>)","1034","","NS","NS","NS","NS"
"dPT","Proximal Tubule Epithelial Cell (<i>degenerative<sup>3</sup></i>)","154","","NS","NS","NS","NS"
"dPT/DTL","Proximal Tubule Epithelial Cell / Descending Thin Limb Cell (<i>degenerative<sup>3</sup></i>)","214","","NS","NS","NS","NS"
"PT-S1/S2","Proximal Tubule Epithelial Cell Segment 1 / Segment 2","3732","NS","NS","NS","NS","NS"
"PT-S3","Proximal Tubule Epithelial Cell Segment 3","22","NS","NS","NS","NS","NS"
"T-REG","Regulatory T Cell","7","NS","NS","NS","NS","NS"
"REN","Renin-positive Juxtaglomerular Granular Cell","84","","NS","NS","NS","NS"
"T","T Cell","464","NS","NS","NS","NS","NS"
"cycT","T Cell (<i>cycling<sup>2</sup></i>)","25","NS","NS","NS","NS","NS"
"aTAL1","Thick Ascending Limb Cell Cluster 1 (<i>adaptive / maladaptive / repairing<sup>1</sup></i>)","3","NS","NS","NS","NS","NS"
"aTAL2","Thick Ascending Limb Cell Cluster 2 (<i>adaptive / maladaptive / repairing<sup>1</sup></i>)","285","NS","NS","NS","NS","NS"
"VSMC/P","Vascular Smooth Muscle Cell / Pericyte","502","NS","NS","NS","NS","NS"
