ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006936	muscle contraction	78/2112	351/18903	1.70592753888812e-09	1.02253296680954e-05	9.42929000705424e-06	AKAP9/PABPN1/APBB2/ATP1B1/ATP1A1/ZDHHC21/PTGER3/TNNT2/NPNT/ENO1/SLC8A1/DSC2/PDE4D/KCNE1/KCNH2/SPHK1/SMAD7/P2RX1/CHRNG/GATA4/TNNI3/LTB4R/TBX20/ADRA2C/P2RX3/ANK2/DOCK4/COMP/TACR2/SCN3B/NR4A1/ADRA2A/SCN4B/MIR145/PRKG1/PLCE1/EDNRB/ADA/EDN2/ABAT/ADORA2B/PKP2/ARHGEF11/TTN/DTNA/MYH2/TNNT1/MYL1/TNNI2/TNNT3/TNNC2/ACTA1/MYL2/MYH7/MYOT/TMEM38A/TNNC1/SCN1B/MYH3/TMOD4/ACTN3/CSRP3/CAV3/TCAP/GALR2/LMOD2/FXYD1/MYLK2/ATP2A1/TPM3/JSRP1/TPM2/SGCA/RYR2/MYOCD/DES/CHRM2/CACNG1	78
BP	GO:0006937	regulation of muscle contraction	45/2112	174/18903	4.71106707879369e-08	0.000141190680351447	0.000130199017003924	AKAP9/ATP1B1/ATP1A1/ZDHHC21/TNNT2/NPNT/ENO1/SLC8A1/DSC2/PDE4D/SPHK1/SMAD7/P2RX1/GATA4/TNNI3/ADRA2C/ANK2/DOCK4/TACR2/NR4A1/ADRA2A/MIR145/PRKG1/PLCE1/ADA/EDN2/ABAT/ADORA2B/PKP2/TNNT1/TNNI2/TNNT3/TNNC2/MYL2/MYH7/TMEM38A/TNNC1/ACTN3/CAV3/MYLK2/ATP2A1/RYR2/MYOCD/CHRM2/CACNG1	45
BP	GO:0003012	muscle system process	89/2112	455/18903	8.39292255305166e-08	0.000167690592609972	0.000154635916933594	AKAP9/PABPN1/AKAP13/APBB2/ATP1B1/ATP1A1/IL6ST/ZDHHC21/PTGER3/TNNT2/NPNT/ENO1/CDK9/PPARA/SLC8A1/DSC2/PDE4D/KCNE1/KCNH2/SPHK1/SMAD7/P2RX1/ERRFI1/CHRNG/GATA4/KLF15/TNNI3/LTB4R/TBX20/ADRA2C/P2RX3/ANK2/GATM/DOCK4/COMP/TACR2/SCN3B/NR4A1/ADRA2A/SCN4B/MIR145/PRKG1/TNFRSF1B/PLCE1/EDNRB/ADA/SORBS2/EDN2/ABAT/ADORA2B/PKP2/ARHGEF11/TTN/DTNA/MYH2/TNNT1/MYL1/TNNI2/TNNT3/TNNC2/ACTA1/MYL2/MYH7/MYOT/TMEM38A/TNNC1/SCN1B/MYH3/TMOD4/ACTN3/CSRP3/CAV3/TCAP/GALR2/LMOD2/FXYD1/MYLK2/ATP2A1/TRIM72/TPM3/JSRP1/TPM2/SGCA/RYR2/MYOCD/HMOX1/DES/CHRM2/CACNG1	89
BP	GO:0048644	muscle organ morphogenesis	25/2112	80/18903	1.08883828918067e-06	0.00163162417633723	0.00150460259381255	TNNT2/TGFBR3/SMAD7/TNNI3/TGFB1/FOXH1/TBX20/LRP2/ENG/NOG/ADARB1/GSC/MIR145/RBPJ/PKP2/TTN/MYL2/MYH7/TNNC1/TCAP/MYLK2/SMTNL1/CHD7/TCF15/RYR2	25
BP	GO:0001666	response to hypoxia	60/2112	296/18903	3.23577213655562e-06	0.00362210187018393	0.00334012203788627	MALAT1/MDM4/VHL/PLEKHN1/ITPR2/HIPK2/ATP1B1/THBS1/STUB1/PGF/ENO1/CBFA2T3/ACTN4/LIMD1/TMBIM6/PPARA/SLC8A1/ADAM8/WTIP/HSD11B2/TGFBR3/MDM2/HILPDA/NDRG1/EPAS1/E2F1/ITPR1/VCAM1/AQP1/ALAD/TGFB3/ERCC3/AHCY/P2RX3/F7/CHRNA7/ASCL2/TH/AK4/EGR1/OPRD1/MIR145/RBPJ/ADA/ABAT/CYGB/DPP4/NDNF/FABP1/ALAS2/ADAM15/MB/MIR126/CAV3/PRKCE/RYR2/MYOCD/HMOX1/ADIPOQ/SLC2A4	60
BP	GO:0055008	cardiac muscle tissue morphogenesis	20/2112	60/18903	4.20790899056329e-06	0.00362210187018393	0.00334012203788627	TNNT2/TGFBR3/SMAD7/TNNI3/TGFB1/FOXH1/TBX20/LRP2/ENG/NOG/RBPJ/PKP2/TTN/MYL2/MYH7/TNNC1/TCAP/MYLK2/CHD7/RYR2	20
BP	GO:0001655	urogenital system development	69/2112	360/18903	4.86920742466113e-06	0.00362210187018393	0.00334012203788627	DYNC2H1/PKHD1/ERBB4/TEK/MYO1E/NPNT/STK11/ACAT1/SMAD6/BASP1/UMOD/JAG1/ACD/PODXL/CASP9/FRAS1/SMAD7/PDGFRB/KIF26B/PCSK9/CTSH/BAX/ZBTB16/KLF15/MMP17/AQP1/HOXD13/FREM2/FOXD1/CALB1/LRP2/SDC1/SHH/IRX3/WNT6/COL4A3/CYP26A1/HMGCS2/FOXB1/MME/NOG/AMH/TP73/EGR1/OSR2/TIPARP/HOXC11/FGF1/SLC34A1/EPHA7/TMEM59L/TBX18/PSAPL1/ASS1/PLCE1/EDNRB/PTPRO/ENPEP/CER1/MAGI2/ROBO2/SERPINF1/CYP19A1/PKD1L3/CC2D2A/NPHS1/PCSK5/MYOCD/ADIPOQ	69
BP	GO:0003208	cardiac ventricle morphogenesis	22/2112	71/18903	5.53619528565522e-06	0.00362210187018393	0.00334012203788627	TNNT2/JAG1/TGFBR3/SMAD7/GATA4/TNNI3/TGFB1/FOXH1/TBX20/LRP2/ENG/SMARCD3/NOG/RBPJ/PKP2/SFRP2/MYL2/MYH7/TNNC1/CHD7/RYR2/MESP1	22
BP	GO:0007517	muscle organ development	67/2112	348/18903	5.6835077077281e-06	0.00362210187018393	0.00334012203788627	FLNB/ZFHX3/TNNT2/SKI/IGF2/SFMBT1/SOX6/CHD2/BASP1/ADGRB1/EGR3/EVC/TGFBR3/SMAD7/LUC7L/USP2/LAMA2/MAPK12/TNNI3/DMRTA2/TEAD4/TGFB1/RCAN1/FOXH1/TBX20/LRP2/YBX3/SHH/WNT3A/ENG/NOG/ADARB1/FOXL2/EGR1/NR4A1/GSC/EID2/MIR145/ASS1/RBPJ/MSX1/NEURL1/PKP2/TTN/ACTA1/MYL2/MYH7/TNNC1/MYH3/ACTN3/CSRP3/JPH2/CAV3/TCAP/MYLK2/TRIM72/FHL3/SMYD1/SMTNL1/NPHS1/CHD7/COL6A3/SGCA/TCF15/RYR2/MYOCD/DES	67
BP	GO:0007409	axonogenesis	80/2112	438/18903	6.04287932963618e-06	0.00362210187018393	0.00334012203788627	MACF1/GOLGA4/VCL/NUMB/APLP2/KIF13B/PARD3/ANK3/STK11/UNC5B/ENAH/FEZF2/MYCBP2/ADGRB1/NTRK2/BSG/PLXNA3/PARD6B/SEMA4C/SEMA7A/BRSK1/RPS6KA5/CDH2/TRIM46/ACTB/SEMA5A/NUMBL/SEMA6B/BRSK2/EPHB6/LAMA2/NTRK1/DBN1/SYNGAP1/RTN4/NTN3/SIPA1L1/ISLR2/IGSF9/CDH11/FOXD1/ARHGEF25/SHH/WNT3A/ISL2/EFNA2/POU4F2/NTN5/FOXB1/NOG/KLF7/ADARB1/EPHA10/ARX/APOE/EPHA7/ARTN/FYN/ALCAM/PTPRO/MAP3K13/EDN2/FOXG1/RAC2/CDK5R2/KALRN/SEMA3D/CNTN1/MYOT/SCN1B/ROBO2/UNC5C/SZT2/BARHL2/DCC/NEXN/CNTN5/PLXNA4/STMN1/LRRC4C	80
BP	GO:0070482	response to oxygen levels	65/2112	337/18903	7.32593839878947e-06	0.00399197043294037	0.00368119641454962	MALAT1/MDM4/VHL/PLEKHN1/ITPR2/HIPK2/ATP1B1/THBS1/STUB1/PGF/ENO1/CBFA2T3/ACTN4/LIMD1/TMBIM6/PPARA/SLC8A1/ADAM8/WTIP/HSD11B2/TGFBR3/MDM2/HILPDA/PDGFRB/NDRG1/EPAS1/E2F1/ITPR1/VCAM1/AQP1/ALAD/TGFB3/ERCC3/AHCY/P2RX3/POU4F2/F7/CHRNA7/SLC7A5/ASCL2/TH/AK4/EGR1/OPRD1/MIR145/RBPJ/ADA/ABAT/CYGB/DPP4/NDNF/FABP1/ALAS2/ADAM15/MB/MIR126/CAV3/PRKCE/RYR2/MYOCD/HMOX1/NOX1/ADIPOQ/SLC2A4/COL1A1	65
BP	GO:0072001	renal system development	62/2112	318/18903	8.29352357887984e-06	0.00414261502765048	0.00382011336076298	DYNC2H1/PKHD1/ERBB4/TEK/MYO1E/NPNT/ACAT1/SMAD6/BASP1/UMOD/JAG1/PODXL/CASP9/FRAS1/SMAD7/PDGFRB/KIF26B/PCSK9/CTSH/BAX/ZBTB16/KLF15/MMP17/AQP1/FREM2/FOXD1/CALB1/LRP2/SDC1/SHH/IRX3/WNT6/COL4A3/CYP26A1/HMGCS2/MME/NOG/TP73/EGR1/OSR2/TIPARP/HOXC11/FGF1/SLC34A1/EPHA7/TMEM59L/TBX18/ASS1/PLCE1/EDNRB/PTPRO/ENPEP/CER1/MAGI2/ROBO2/SERPINF1/PKD1L3/CC2D2A/NPHS1/PCSK5/MYOCD/ADIPOQ	62
BP	GO:0060415	muscle tissue morphogenesis	22/2112	73/18903	9.1478552653887e-06	0.00421786495851845	0.00388950510109766	TNNT2/TGFBR3/SMAD7/TNNI3/TGFB1/FOXH1/TBX20/LRP2/ENG/NOG/ADARB1/MIR145/RBPJ/PKP2/TTN/MYL2/MYH7/TNNC1/TCAP/MYLK2/CHD7/RYR2	22
BP	GO:0055002	striated muscle cell development	21/2112	69/18903	1.22660549671815e-05	0.00491192871005791	0.00452953614254852	AKAP13/WDR1/PRKAR1A/TNNT2/PDGFRB/FHOD3/SDC1/TTN/TNNT1/TNNT3/ACTA1/MYL2/MYH7/MYH3/TMOD4/CSRP3/ADPRHL1/CAV3/TCAP/LMOD2/ANKRD23	21
BP	GO:0001822	kidney development	60/2112	309/18903	1.31115881483027e-05	0.00491192871005791	0.00452953614254852	DYNC2H1/PKHD1/ERBB4/TEK/MYO1E/NPNT/ACAT1/SMAD6/BASP1/UMOD/JAG1/PODXL/CASP9/FRAS1/SMAD7/PDGFRB/KIF26B/PCSK9/CTSH/BAX/ZBTB16/KLF15/MMP17/AQP1/FREM2/FOXD1/CALB1/LRP2/SDC1/SHH/IRX3/WNT6/COL4A3/CYP26A1/HMGCS2/MME/NOG/TP73/EGR1/OSR2/TIPARP/HOXC11/FGF1/SLC34A1/EPHA7/TMEM59L/ASS1/PLCE1/EDNRB/PTPRO/ENPEP/CER1/MAGI2/ROBO2/SERPINF1/PKD1L3/CC2D2A/NPHS1/PCSK5/ADIPOQ	60
BP	GO:0036293	response to decreased oxygen levels	60/2112	309/18903	1.31115881483027e-05	0.00491192871005791	0.00452953614254852	MALAT1/MDM4/VHL/PLEKHN1/ITPR2/HIPK2/ATP1B1/THBS1/STUB1/PGF/ENO1/CBFA2T3/ACTN4/LIMD1/TMBIM6/PPARA/SLC8A1/ADAM8/WTIP/HSD11B2/TGFBR3/MDM2/HILPDA/NDRG1/EPAS1/E2F1/ITPR1/VCAM1/AQP1/ALAD/TGFB3/ERCC3/AHCY/P2RX3/F7/CHRNA7/ASCL2/TH/AK4/EGR1/OPRD1/MIR145/RBPJ/ADA/ABAT/CYGB/DPP4/NDNF/FABP1/ALAS2/ADAM15/MB/MIR126/CAV3/PRKCE/RYR2/MYOCD/HMOX1/ADIPOQ/SLC2A4	60
BP	GO:0003229	ventricular cardiac muscle tissue development	18/2112	55/18903	1.67912189055958e-05	0.00569881956973954	0.00525516772223141	ADAMTS9/TNNT2/TGFBR3/SMAD7/TNNI3/TGFB1/FOXH1/LRP2/IRX3/ENG/NOG/RBPJ/PKP2/MYL2/MYH7/TNNC1/CHD7/RYR2	18
BP	GO:0000353	formation of quadruple SL/U4/U5/U6 snRNP	7/2112	10/18903	1.90150803127779e-05	0.00569881956973954	0.00525516772223141	RNU4-2/RNU5A-1/RNU5E-1/RNU4-1/RNU5B-1/RNU5D-1/RNU5F-1	7
BP	GO:0000365	mRNA trans splicing, via spliceosome	7/2112	10/18903	1.90150803127779e-05	0.00569881956973954	0.00525516772223141	RNU4-2/RNU5A-1/RNU5E-1/RNU4-1/RNU5B-1/RNU5D-1/RNU5F-1	7
BP	GO:0045291	mRNA trans splicing, SL addition	7/2112	10/18903	1.90150803127779e-05	0.00569881956973954	0.00525516772223141	RNU4-2/RNU5A-1/RNU5E-1/RNU4-1/RNU5B-1/RNU5D-1/RNU5F-1	7
BP	GO:0055010	ventricular cardiac muscle tissue morphogenesis	16/2112	46/18903	2.07279918394368e-05	0.00591636109931353	0.00545577369167331	TNNT2/TGFBR3/SMAD7/TNNI3/TGFB1/FOXH1/LRP2/ENG/NOG/RBPJ/PKP2/MYL2/MYH7/TNNC1/CHD7/RYR2	16
BP	GO:0061564	axon development	85/2112	490/18903	2.37716632120122e-05	0.00647669769512732	0.00597248820699886	MACF1/CTNNA1/GOLGA4/VCL/NUMB/APLP2/KIF13B/PARD3/ANK3/STK11/UNC5B/ENAH/FEZF2/CERS2/MYCBP2/ADGRB1/NTRK2/BSG/PLXNA3/PARD6B/SEMA4C/SEMA7A/BRSK1/RPS6KA5/CDH2/TRIM46/ACTB/SEMA5A/NUMBL/SEMA6B/BRSK2/EPHB6/LAMA2/NTRK1/DBN1/SYNGAP1/RTN4/NTN3/SIPA1L1/ISLR2/DDR1/IGSF9/CDH11/FOXD1/ARHGEF25/SHH/WNT3A/ISL2/EFNA2/POU4F2/NTN5/FOXB1/NOG/KLF7/ADARB1/VASH2/EPHA10/ARX/APOE/EPHA7/ARTN/FYN/CSPG5/ALCAM/PTPRO/MAP3K13/EDN2/FOXG1/RAC2/CDK5R2/KALRN/SEMA3D/CNTN1/MYOT/SCN1B/ROBO2/UNC5C/SZT2/BARHL2/DCC/NEXN/CNTN5/PLXNA4/STMN1/LRRC4C	85
BP	GO:0090257	regulation of muscle system process	51/2112	256/18903	2.79453335184479e-05	0.00728279691780767	0.00671583278285445	AKAP9/ATP1B1/ATP1A1/IL6ST/ZDHHC21/TNNT2/NPNT/ENO1/CDK9/PPARA/SLC8A1/DSC2/PDE4D/SPHK1/SMAD7/P2RX1/ERRFI1/GATA4/TNNI3/ADRA2C/ANK2/DOCK4/TACR2/NR4A1/ADRA2A/MIR145/PRKG1/TNFRSF1B/PLCE1/ADA/EDN2/ABAT/ADORA2B/PKP2/TNNT1/TNNI2/TNNT3/TNNC2/MYL2/MYH7/TMEM38A/TNNC1/ACTN3/CAV3/MYLK2/ATP2A1/SGCA/RYR2/MYOCD/CHRM2/CACNG1	51
BP	GO:0030239	myofibril assembly	20/2112	68/18903	3.418203364577e-05	0.00853696290303106	0.00787236222254115	AKAP13/WDR1/PRKAR1A/TNNT2/PDGFRB/FHOD3/TTN/TNNT1/TNNT3/ACTA1/MYL2/MYH7/MYH3/TMOD4/CSRP3/ADPRHL1/CAV3/TCAP/LMOD2/ANKRD23	20
BP	GO:0045214	sarcomere organization	15/2112	44/18903	4.89766244366733e-05	0.0117426354749368	0.0108284738912409	AKAP13/WDR1/PRKAR1A/TNNT2/FHOD3/TTN/TNNT1/TNNT3/MYH7/MYH3/CSRP3/CAV3/TCAP/LMOD2/ANKRD23	15
BP	GO:0061318	renal filtration cell differentiation	10/2112	22/18903	5.38741993626666e-05	0.011960072258512	0.0110289832691369	MYO1E/BASP1/JAG1/PODXL/KLF15/EDNRB/PTPRO/MAGI2/NPHS1/ADIPOQ	10
BP	GO:0072112	podocyte differentiation	10/2112	22/18903	5.38741993626666e-05	0.011960072258512	0.0110289832691369	MYO1E/BASP1/JAG1/PODXL/KLF15/EDNRB/PTPRO/MAGI2/NPHS1/ADIPOQ	10
BP	GO:0007411	axon guidance	47/2112	236/18903	5.70193930522352e-05	0.0120229426133842	0.0110869591807388	UNC5B/ENAH/FEZF2/MYCBP2/BSG/PLXNA3/SEMA4C/SEMA7A/RPS6KA5/SEMA5A/SEMA6B/EPHB6/LAMA2/NTRK1/NTN3/IGSF9/FOXD1/ARHGEF25/SHH/WNT3A/ISL2/EFNA2/POU4F2/NTN5/NOG/KLF7/EPHA10/ARX/EPHA7/ARTN/FYN/ALCAM/PTPRO/FOXG1/RAC2/CDK5R2/KALRN/SEMA3D/CNTN1/MYOT/SCN1B/ROBO2/UNC5C/DCC/NEXN/CNTN5/PLXNA4	47
BP	GO:0030048	actin filament-based movement	31/2112	134/18903	5.89965464709608e-05	0.0120229426133842	0.0110869591807388	SYNE2/AKAP9/MYO6/MYH9/EPB41L5/MYO1E/ATP1A1/TNNT2/ACTN4/DSC2/PDE4D/KCNE1/KCNH2/GATA4/MYO1G/ANK2/MYO5A/SCN3B/SCN4B/MYO5B/PKP2/MYH2/MYL1/MYH7/TNNC1/SCN1B/MYH3/CAV3/MYLK2/ATP2A1/RYR2	31
