ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05414	Dilated cardiomyopathy	26/964	96/8586	1.28605611475834e-05	0.00417968237296461	0.00358741968853642	3655/7139/3693/6546/60/3908/112/7137/7040/7043/3695/113/5568/27092/7273/4633/8515/4625/7134/487/7170/7169/6442/6262/1674/786	26
hsa04015	Rap1 signaling pathway	43/964	210/8586	5.85727801341967e-05	0.00951807677180697	0.00816936143976955	9693/7010/5331/56288/7057/5330/55740/5228/5906/5579/1956/1950/27040/84612/83660/5159/60/5900/6494/112/6300/7409/26037/260425/135/9965/9170/1943/9732/11069/113/2246/1500/57121/3791/51196/57568/136/5880/51466/2771/9863/9223	43
hsa05410	Hypertrophic cardiomyopathy	23/964	90/8586	0.000107205770314395	0.0100916017451806	0.00866161769221975	3655/7139/3693/6546/60/3908/7137/7040/7043/3695/27092/7273/4633/8515/4625/7134/487/7170/7169/6442/6262/1674/786	23
hsa04974	Protein digestion and absorption	25/964	103/8586	0.000134529893274398	0.0100916017451806	0.00866161769221975	1291/481/476/6519/1294/6546/1299/1307/1289/136227/153201/1285/3783/4311/8645/1292/9056/1357/340024/1803/7512/1293/23428/1288/1277	25
hsa00280	Valine, leucine and isoleucine degradation	15/964	48/8586	0.000155255411464316	0.0100916017451806	0.00866161769221975	64087/501/38/224/3033/27034/5019/3157/1629/1962/30/4329/3158/64902/18	15
hsa04020	Calcium signaling pathway	47/964	253/8586	0.000314029390120253	0.0170099252981804	0.0145996119968188	3709/2066/5331/5733/80228/5330/113026/292/5579/4915/6546/1956/1950/8877/5023/5159/4776/3708/4914/135/9965/5024/53373/1139/6865/5336/113/2246/3791/5568/4923/51196/3706/2769/1910/136/5260/7125/7134/116443/85366/487/2911/6262/6263/777/1129	47
hsa00650	Butanoate metabolism	10/964	27/8586	0.000426451499305879	0.0197995338963444	0.0169939319272268	38/3033/5019/3157/1962/348158/3158/123876/18/116285	10
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	19/964	77/8586	0.000668598998840722	0.0271618343279043	0.0233129914069462	1495/3655/3693/6546/1824/1000/60/3908/3695/6932/27092/5318/8515/89/487/6442/6262/1674/786	19
hsa00410	beta-Alanine metabolism	10/964	31/8586	0.00147555952276249	0.0504724605908237	0.0433204924909094	501/55748/51/224/1962/4329/1807/51733/57571/18	10
hsa04961	Endocrine and other factor-regulated calcium reabsorption	14/964	53/8586	0.00165074644112465	0.0504724605908237	0.0433204924909094	1213/481/476/5331/5330/5579/6546/112/793/9365/26052/5568/3816/5745	14
hsa04512	ECM-receptor interaction	20/964	89/8586	0.00170829866615096	0.0504724605908237	0.0433204924909094	1291/3655/255743/7057/3693/80144/1299/3908/341640/158326/6382/1285/1311/1292/3695/7448/8515/1293/1288/1277	20
hsa00010	Glycolysis / Gluconeogenesis	16/964	67/8586	0.00249474174150893	0.0675659221658668	0.0579918036403391	128/5160/501/2023/3945/224/5213/669/5105/2026/2203/10327/229/5106/127/8789	16
hsa04928	Parathyroid hormone synthesis, secretion and action	22/964	106/8586	0.00301490904721815	0.0742615158951585	0.0637386290274235	11214/3709/64764/5331/5330/5579/1956/5144/9138/3708/112/4326/5337/9365/409/1958/113/6569/5568/9826/5745/2771	22
hsa03320	PPAR signaling pathway	17/964	75/8586	0.00334859290666274	0.0742615158951585	0.0637386290274235	2180/51/5465/3157/1962/30/116519/1622/23205/5105/3158/2170/5106/2168/729359/5346/9370	17
hsa04920	Adipocytokine signaling pathway	16/964	69/8586	0.00342745457977654	0.0742615158951585	0.0637386290274235	10891/2180/6774/6794/5465/8717/3667/4790/23205/7186/5105/7133/5106/51094/9370/6517	16
