Gene	log2FC
MALAT1	-1.787120895
LINC01000	3.559869189
SNORD3D	5.648976289
ABLIM1	-1.009960728
SNORD22	5.000856519
SNORA21	3.122557773
LUC7L3	0.898616093
UBE4A	-1.007931361
TRIP12	-0.838682328
CHD3	1.185891978
TRIP11	-0.723233333
DYNC1H1	-0.742005075
KIAA1109	-0.873406054
RANGAP1	2.651620241
DST	-1.171319419
HUWE1	-0.808333753
SYNE2	-1.378239838
PPARGC1A	-1.417045722
PTMS	3.679261532
GOLGB1	-0.861411915
RNU4-2	3.152778522
AKAP9	-0.711483773
MACF1	-0.946349256
FLNB	-0.935567628
SNORD89	3.454670411
ADH5	-1.436206066
TMX3	-0.777079079
SEC31A	-0.84680169
CNOT1	-0.745404015
TMEM127	-1.140539881
CTNNA1	-0.939393951
RNU5A-1	6.431131851
RNU5E-1	8.117174792
DYNC2H1	-0.809034072
MYO6	1.604085754
MIR7641-2	2.967814454
SNORA74B	2.887126083
AEBP2	3.478324824
GOLGA4	-0.759491731
MTRNR2L8	5.35969486
SMARCE1	-0.939472181
COL6A1	1.605944643
SCAF1	1.814995112
MDM4	2.080217913
SGMS2	-1.485160652
USP35	2.235486959
ZFHX3	1.052585939
PHF3	-0.974982522
SCARNA10	2.524396167
MEIS2	3.506238193
SNORD3C	6.418937982
KLHDC4	2.629958787
PUM1	-0.662205629
UBTF	2.040189243
FAM50A	1.920061691
RAPGEF2	-1.148335477
ZNF316	1.105621877
DMXL1	-1.055242137
RAB3GAP2	-0.679178083
SNORD26	4.056848625
RNA28S5	3.083115824
ABCC4	-1.00803647
ARHGEF12	-0.836967005
VHL	2.315685455
AFF1	-0.758186931
SNORA61	6.149460508
PELP1	2.748818379
HDGFRP2	1.909849295
VCL	-0.731192016
SNORA68	4.967067481
TMEM245	-1.032918851
BRD9	1.831387357
PABPN1	1.700747379
FBRS	1.16248831
KIAA1217	-0.873483398
RNU11	7.778582734
SNORD68	4.639117483
ZNF785	1.920623969
MAOA	-1.324828938
CD59	-0.918720657
NUMB	-0.835439446
PTCH2	5.760042534
CYP20A1	1.992176703
SOX12	2.05383051
ANO8	2.162525062
SCARNA22	7.580324691
SNORA16A	4.981780824
OGFR	2.426709301
SNORA11	4.001982178
WDFY3	-0.861509594
PLEKHN1	5.500033687
LRBA	-0.815712117
RPGR	1.985042302
TVP23C	2.918623723
VPS13C	-0.636794518
KIAA0100	-0.707644404
PTPN13	-0.90019898
GLG1	-0.909245807
SH3BP5	1.680562192
INCENP	2.205843041
TBC1D1	-0.822538354
SNRNP200	-0.861519413
MCCC2	-1.176553563
CEP350	-0.652953669
NOM1	1.915188163
RNU4-1	4.696807849
COPG1	-0.825109747
WLS	-1.104545704
ATG2B	-1.093326167
RNU5B-1	5.783572526
UBE2M	2.496072164
AMFR	-0.985385572
FNDC3A	-1.075288297
ASH1L	-0.764740285
PKHD1	-1.322435879
HNRNPD	1.439092178
TAF3	1.993568514
ZBTB20	-0.772840134
UBAP1L	2.301997117
RALGAPA2	-0.754726565
LOC100133331	5.717881097
SCARNA20	7.115580816
ATRN	-0.772398865
KIAA0368	-0.899313329
AKAP13	-0.828105526
MYO10	1.266390629
UPF2	2.433035734
APBB2	-0.735265195
CLCN3	-1.047312577
ITPR2	-1.036875781
SCARNA12	3.16285228
TNK2	1.284262955
ITGA6	-1.16215275
ERBB4	-1.375545759
PITPNM3	2.62371498
ATP5A1	-1.165547245
TCEA2	2.406114573
GLUD1	-1.450572373
TUFM	-0.996085364
ALDH1A1	-1.414629821
ADAMTS9	-1.220645515
C9orf114	1.405603239
ARIH1	1.214579158
LINC00999	5.805485231
WDR1	-0.972289502
P3H2	-1.171257105
SYNE1	-1.746347065
ZBTB47	2.441616746
HIPK2	-0.82761107
MYH9	-0.860332905
SNORA71D	6.626616415
SNORA9	6.404930521
ZNF587	2.317265241
C19orf68	2.37838614
CLCN5	-1.613447774
PRDM4	-0.913645989
GHITM	-1.520608878
CACTIN	1.114188807
MORN2	-1.893731481
ADGRL2	-1.19806155
EPB41L5	-0.868803452
KCNK6	5.222035383
MTRNR2L1	2.646781267
SDHA	-1.268192655
ARHGAP24	-1.264196494
AKAP8	1.318027133
DOCK1	-0.763198563
TEK	-2.088452354
MYO1E	-1.061356529
ARHGEF38	-1.427406125
CLTC	-1.0349728
GK5	1.747972145
PKP4	-0.795717558
PDCD7	1.372999213
FLI1	2.491389745
AHCYL1	-0.789987361
SNORA38B	7.733974178
PLEKHA4	1.603244464
BOD1L1	-0.887315756
SMARCA2	-0.748202168
HERC3	-0.832319942
CWF19L2	-1.046801942
IARS	-1.036990875
CXXC1	1.136450266
PTPRB	-1.494296717
ZHX3	-0.977733965
EPG5	-0.828328978
TBC1D10B	1.384742305
TUBGCP2	0.744728476
SNORA55	5.1071892
ANO9	1.245498638
SCARNA6	2.712848996
VPS13D	-0.765732595
WNK1	-0.806840073
IGF2R	-0.717134536
ACSL1	-1.015486547
HEXIM1	1.82172569
MLEC	-0.795916782
C16orf72	2.206202956
FAT1	-0.985965883
ZC3H13	0.820773818
PDHA1	-1.007513742
LMTK3	2.129115303
SART1	0.723278569
ZFYVE9	-1.031051278
CA12	-1.8111403
ATP1B1	-1.538069392
CTDSPL	-0.943302779
SUCLG2-AS1	2.552744417
POLR2A	-0.692427502
C11orf95	1.551145568
ZNF598	1.157555187
ATP5B	-1.219937917
PLCL1	-1.299707125
TOP1	-0.828940315
EHMT2	2.929503548
MIR4449	8.355896399
APLP2	-1.071379303
SUGCT	-1.906930233
KIF13B	-0.764783333
LRRC16A	-1.403442638
SLC4A7	-0.979547247
HSPA9	-1.006280636
ATP1A1	-1.80951035
GNL3L	1.850084687
SCARNA4	5.226684075
CCDC50	-0.981058913
NBAS	-1.119564744
UBR4	-1.207721143
