,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MALAT1,379954.7746,-1.787120895,0.561917981,-3.180394568,0.001470746,0.043285099
LINC01000,10788.15303,3.559869189,0.543068346,6.555103448,5.56E-11,1.69E-08
SNORD3D,10977.60248,5.648976289,0.633376966,8.918821792,4.71E-19,7.16E-16
ABLIM1,1242.636723,-1.009960728,0.414860793,-2.434456919,0.014914155,0.189552509
SNORD22,3610.229644,5.000856519,0.621278912,8.049293837,8.33E-16,5.87E-13
SNORA21,5548.024895,3.122557773,0.592935403,5.266269745,1.39E-07,1.95E-05
LUC7L3,12684.92316,0.898616093,0.362651412,2.477905953,0.013215597,0.177730211
UBE4A,397.9115248,-1.007931361,0.458523788,-2.19820953,0.027934178,0.268048661
TRIP12,1390.142318,-0.838682328,0.273215944,-3.069668318,0.002142966,0.05481774
CHD3,7411.000178,1.185891978,0.368883353,3.214815658,0.001305283,0.039656511
HELZ,774.0935299,-0.57034781,0.304984581,-1.870087359,0.061471688,0.398667615
TRIP11,822.0740166,-0.723233333,0.329970137,-2.191814509,0.028392903,0.270203622
DYNC1H1,4279.456148,-0.742005075,0.215972209,-3.435650709,0.000591133,0.023005815
ZNF518A,320.4950579,-0.568208743,0.543844039,-1.044800904,0.296114997,0.733911252
KIAA1109,1882.812566,-0.873406054,0.367372713,-2.377438563,0.017433347,0.206275455
WDR11,279.1374721,-0.816778588,0.454612564,-1.796647636,0.072391577,0.4298711
RANGAP1,3780.008932,2.651620241,0.509935764,5.199910319,1.99E-07,2.62E-05
DST,6233.547984,-1.171319419,0.357376482,-3.27755037,0.00104712,0.033954901
HUWE1,3742.267218,-0.808333753,0.197895895,-4.08464134,4.41E-05,0.002995789
SYNE2,11394.03181,-1.378239838,0.415035267,-3.320777652,0.00089767,0.030274931
PPARGC1A,744.9013714,-1.417045722,0.5650948,-2.507624777,0.012154566,0.170169671
PTMS,13416.77303,3.679261532,0.418437815,8.792851418,1.46E-18,2.06E-15
GOLGB1,3726.908129,-0.861411915,0.393589368,-2.188605651,0.028625515,0.27112381
RNU4-2,18270.65831,3.152778522,0.590705454,5.337310667,9.43E-08,1.38E-05
LRRC28,41.81227269,-1.523161973,0.934628165,-1.629698344,0.103165268,0.499462541
AKAP9,2320.977542,-0.711483773,0.325571704,-2.185336635,0.028864173,0.272061839
PIK3C3,305.2971337,-0.74382264,0.474144627,-1.568767412,0.116702144,0.524327098
MACF1,6959.663356,-0.946349256,0.311602078,-3.037044106,0.002389105,0.058859038
SLC35A5,59.04603512,-1.412019874,0.878976199,-1.606436984,0.10817793,0.507772715
FLNB,2304.14321,-0.935567628,0.275272772,-3.39869294,0.000677087,0.024992732
MKLN1,540.4290439,-0.775122125,0.485547254,-1.596388648,0.110402049,0.512751567
KIDINS220,874.9190855,-0.656341843,0.374485537,-1.752649376,0.07966221,0.448603451
SNORD89,3642.808211,3.454670411,0.50917125,6.784888992,1.16E-11,4.25E-09
ADH5,247.7846071,-1.436206066,0.61983843,-2.317065218,0.020500179,0.226449154
TMX3,234.044237,-0.777079079,0.388420758,-2.000611616,0.045434261,0.345005418
SEC31A,612.4936281,-0.84680169,0.349630604,-2.421989612,0.015435792,0.193015725
SMARCA1,446.4313236,-0.720838892,0.416702026,-1.729866541,0.083654122,0.457802571
CNOT1,878.7714142,-0.745404015,0.330442479,-2.255775397,0.024084701,0.247405336
TMEM127,271.9313037,-1.140539881,0.459513063,-2.482061933,0.013062457,0.176990657
SCARNA2,16042.15341,0.773912639,0.56209532,1.37683523,0.168563196,0.607341212
FGD4,508.7935829,-0.722902272,0.465104357,-1.554279726,0.120117707,0.530281571
CTNNA1,1133.61683,-0.939393951,0.355142577,-2.6451178,0.008166248,0.135404761
RNU5A-1,5248.363211,6.431131851,0.751791156,8.554412747,1.18E-17,1.38E-14
ADNP,542.779704,-0.480630473,0.368442323,-1.304493113,0.192065506,0.633672276
ELF2,259.8534991,-0.789163876,0.455796674,-1.731394546,0.083381419,0.456885754
RNU5E-1,5381.807816,8.117174792,0.761216145,10.66342962,1.51E-26,9.94E-23
DYNC2H1,650.1271675,-0.809034072,0.412136353,-1.963025259,0.049643239,0.361621057
MYO6,10068.39732,1.604085754,0.407126014,3.940022743,8.15E-05,0.005059579
TMX2,73.79591935,-1.582906478,0.930864024,-1.700470141,0.089042528,0.469661284
MIR7641-2,2234.677458,2.967814454,0.628151386,4.724680264,2.30E-06,0.000238297
SNORA74B,1653.409269,2.887126083,0.5386225,5.360203263,8.31E-08,1.27E-05
ITM2A,17.40773803,-1.463219845,1.108663824,-1.319804807,0.186900196,0.628320555
RNF141,100.0409075,-1.150362454,0.722149138,-1.592970749,0.111166753,0.514006332
AEBP2,4966.603361,3.478324824,0.524107282,6.636665703,3.21E-11,1.06E-08
GOLGA4,2523.155536,-0.759491731,0.327236755,-2.320924283,0.020290931,0.225344392
MTRNR2L8,816.257854,5.35969486,0.676673937,7.920646217,2.36E-15,1.56E-12
SMARCE1,519.4606448,-0.939472181,0.361665734,-2.597625634,0.009387077,0.14677435
COL6A1,6093.206272,1.605944643,0.382405318,4.199587633,2.67E-05,0.001941414
SCAF1,1658.012707,1.814995112,0.37770276,4.805353052,1.54E-06,0.000167618
MDM4,2812.233297,2.080217913,0.369649361,5.627543651,1.83E-08,3.31E-06
DUSP11,48.01011069,-0.694752413,0.827323279,-0.839759294,0.401043361,0.809080137
TERF2IP,250.8313146,-0.805715309,0.588319714,-1.369519481,0.170836949,0.609511293
CHD1,575.7344756,-0.738413994,0.45765877,-1.613459729,0.106644666,0.505282836
SGMS2,191.4555948,-1.485160652,0.713316298,-2.082050635,0.037337845,0.309549858
USP35,993.8541463,2.235486959,0.52070795,4.293168481,1.76E-05,0.001385832
CPQ,207.8965225,-1.25799277,0.675195917,-1.863152218,0.062440853,0.401630172
BIRC6,1726.013444,-0.517114135,0.294161536,-1.757925737,0.078760146,0.447154111
CLPX,233.3988618,-0.932457455,0.596239443,-1.563897635,0.11784161,0.525462871
TMEM167A,282.9494041,-0.736773861,0.493950756,-1.491593749,0.135805678,0.560067463
EPM2AIP1,184.2389903,-0.569930397,0.698688566,-0.815714505,0.414663441,0.817161325
ZFHX3,4513.324725,1.052585939,0.430844872,2.443074077,0.014562748,0.18698318
HEATR5B,259.3456597,-0.926265932,0.500445862,-1.850881389,0.064186619,0.406256382
